TRAIN,CSMT,MasjidSandhurst Road,BycullaChinchpokli,Currey RoadParel,DadarMatunga,SionKurla,VidyaviharGhatkopar,VikhroliKanjur Marg,BhandupNahur,MulundThane,KalvaMumbra,DivaKopar,DombivliThakurli,KalyanVithalwadi,Ulhas NagarAmbernath,BadlapurVangani,SheluNeral,Bhivpuri RoadKarjat,PalasdhariKelavli,DolavliLowjee,KhopoliShahad,AmbivliTitwala,KhadavliVasind,AsangaonAtgaon,ThansitKhardi,UmbermalliKasara
96401,18:21,,,,,,,,,,,,,,,,,,,,,,,,,
96101,,,,,,,,,,,,,,,,,,20:36,,,21:01,,,,,
97301,,,,,,,,,,,,,,,,,,,,,,,,,,
96001,18:25,,,,,,,,,,,,,,,,,,,,,,,,,
96501,,,,,,,,,,19:20,,,,19:53,,,,,,,,,,,,
96103,,,,,,,,,,,,,,,,,,,,,,,,,,
97001,,,,18:45,,,,,,,,,,19:58,,,,,,,,,,,,
96601,18:28,,,,,,,,,,,,,19:34,,,,,,,19:39,,,,,
96403,18:32,,,,,,,,,19:15,,,,19:39,,,,,,,19:44,,,20:17,,
97201,18:33,,,,,,,,,,,,,,,,,,,,,,,,,
95001,,,,,,,,,,19:18,,,,19:41,,,,,,,,,,,,
97303,,,,,,,,,,,,,,,,,,,,,,,,,,
96105,18:39,,,,,,,,,,,,,19:46,,,,,,,19:50,,,,,
96603,18:41,,,,,,,,,,,,20:01,,,,,,,,,,,,,
96107,18:42,,,,,,,,,,,,,,,20:08,,,,,,,,,,
96503,,,,,,,,,,,,,,,,,,,,,,,,,,
96201,18:50,,,,,,,,,,,,,20:08,,,,,,,,,,,,
97003,,,,,,,,,,,,,,,,,,,,,,,,,,
97005,18:53,,,,,,,,,,,,,,,,,,,,,,,,,
96405,18:57,,,,,,,,,,,,,20:04,,,,,,,20:08,,,,,
96505,,,,,,,,,,,,,,20:16,,,,,,,,,,,,
96303,,,,,,,,,,19:45,,,,,,20:41,,,,,,,,,,
95701,,,,19:10,,,,,,,,,,20:26,,,,,,,,,,,,
96301,18:58,,,,,,,,,,,,,,,,,,,,,,,,,
97601,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,19:03,,,,,,,,,,,,,20:33,,,,,,,,,,,,
96101,,,,,,,,,,,,,20:27,,,,,,,,,,,,,
97301,,,,,,,,,,20:05,,,,,,,,,,,,,,,,
96001,,,,,,,,,,,,,,,,,,21:42,,,22:07,,,,,
96501,,,,19:25,,,,,,,,,,,,,,,,,,,,,,
96103,19:14,,,,,,,,,,,,,,,20:35,,,,,,,,,,
97001,19:14,,,,,,,,,,,,,20:45,,,,,,,,,,,,
96601,19:18,,,,,,,,,,,,,20:24,,,,,,,20:29,,,,,
96403,19:18,,,,,,,,,,,,,20:49,,,,,,,,,,,,
97201,19:22,,,,,,,,,,,,,,,,,,,,,,,,,
