route_id,service_id,trip_id,direction_id
CL,DAILY,CR_DN_95129_1,0
CL,DAILY,CR_DN_96013_1,0
CL,DAILY,CR_DN_97631_1,0
CL,DAILY,CR_DN_95327_1,0
CL,DAILY,CR_DN_97147_1,0
CL,DAILY,CR_DN_97399_1,0
CL,DAILY,CR_DN_97149_1,0
CL,DAILY,CR_DN_95417_1,0
CL,DAILY,CR_DN_95515_1,0
CL,DAILY,CR_DN_96327_1,0
CL,DAILY,CR_DN_95733_1,0
CL,DAILY,CR_DN_97401_1,0
CL,DAILY,CR_DN_95617_1,0
CL,DAILY,CR_DN_97253_1,0
CL,DAILY,CR_DN_95241_1,0
CL,DAILY,CR_DN_97403_1,0
CL,DAILY,CR_DN_95735_1,0
CL,DAILY,CR_DN_97633_1,0
CL,DAILY,CR_DN_95131_1,0
CL,DAILY,CR_DN_95619_1,0
CL,DAILY,CR_DN_95737_1,0
CL,DAILY,CR_DN_96213_1,0
CL,DAILY,CR_DN_97151_1,0
CL,DAILY,CR_DN_97405_1,0
CL,DAILY,CR_DN_95913_1,0
CL,DAILY,CR_DN_97153_1,0
CL,DAILY,CR_DN_97255_1,0
CL,DAILY,CR_DN_96113_1,0
CL,DAILY,CR_DN_96015_1,0
CL,DAILY,CR_DN_97407_1,0
CL,DAILY,CR_DN_95243_1,0
CL,DAILY,CR_DN_97155_1,0
CL,DAILY,CR_DN_95419_1,0
CL,DAILY,CR_DN_97157_1,0
CL,DAILY,CR_DN_97409_1,0
CL,DAILY,CR_DN_95245_1,0
CL,DAILY,CR_DN_95329_1,0
CL,DAILY,CR_DN_95739_1,0
CL,DAILY,CR_DN_95621_1,0
CL,DAILY,CR_DN_97159_1,0
CL,DAILY,CR_DN_97257_1,0
CL,DAILY,CR_DN_96329_1,0
CL,DAILY,CR_DN_96215_1,0
CL,DAILY,CR_DN_97161_1,0
CL,DAILY,CR_DN_95331_1,0
CL,DAILY,CR_DN_97411_1,0
CL,DAILY,CR_DN_97413_1,0
CL,DAILY,CR_DN_95623_1,0
CL,DAILY,CR_DN_95133_1,0
CL,DAILY,CR_DN_96217_1,0
CL,DAILY,CR_DN_97415_1,0
CL,DAILY,CR_DN_95517_1,0
CL,DAILY,CR_DN_97163_1,0
CL,DAILY,CR_DN_96641_1,0
CL,DAILY,CR_DN_97417_1,0
CL,DAILY,CR_DN_96331_1,0
CL,DAILY,CR_DN_97165_1,0
CL,DAILY,CR_DN_97259_1,0
CL,DAILY,CR_DN_97167_1,0
CL,DAILY,CR_DN_95915_1,0
CL,DAILY,CR_DN_96643_1,0
CL,DAILY,CR_DN_97419_1,0
CL,DAILY,CR_DN_96219_1,0
CL,DAILY,CR_DN_96333_1,0
CL,DAILY,CR_DN_97635_1,0
CL,DAILY,CR_DN_97169_1,0
CL,DAILY,CR_DN_95011_1,0
CL,DAILY,CR_DN_95421_1,0
CL,DAILY,CR_DN_95333_1,0
CL,DAILY,CR_DN_97261_1,0
CL,DAILY,CR_DN_97421_1,0
CL,DAILY,CR_DN_96519_1,0
CL,DAILY,CR_DN_97171_1,0
CL,DAILY,CR_DN_97423_1,0
CL,DAILY,CR_DN_96221_1,0
CL,DAILY,CR_DN_97263_1,0
CL,DAILY,CR_DN_97173_1,0
CL,DAILY,CR_DN_96645_1,0
CL,DAILY,CR_DN_95135_1,0
CL,DAILY,CR_DN_97175_1,0
CL,DAILY,CR_DN_96223_1,0
CL,DAILY,CR_DN_96411_1,0
CL,DAILY,CR_DN_97637_1,0
CL,DAILY,CR_DN_96335_1,0
CL,DAILY,CR_DN_95741_1,0
CL,DAILY,CR_DN_96225_1,0
CL,DAILY,CR_DN_97177_1,0
CL,DAILY,CR_DN_97179_1,0
CL,DAILY,CR_DN_97181_1,0
CL,DAILY,CR_DN_97639_1,0
CL,DAILY,CR_DN_95013_1,0
CL,DAILY,CR_DN_96647_1,0
CL,DAILY,CR_DN_95743_1,0
CL,DAILY,CR_DN_97183_1,0
CL,DAILY,CR_DN_97425_1,0
CL,DAILY,CR_DN_97185_1,0
CL,DAILY,CR_DN_97427_1,0
CL,DAILY,CR_DN_97187_1,0
CL,DAILY,CR_DN_95247_1,0
CL,DAILY,CR_DN_96019_1,0
CL,DAILY,CR_DN_97641_1,0
CL,DAILY,CR_DN_96337_1,0
CL,DAILY,CR_DN_97429_1,0
CL,DAILY,CR_DN_96227_1,0
CL,DAILY,CR_DN_97431_1,0
CL,DAILY,CR_DN_95423_1,0
CL,DAILY,CR_DN_96649_1,0
CL,DAILY,CR_DN_97643_1,0
CL,DAILY,CR_DN_96339_1,0
CL,DAILY,CR_DN_97433_1,0
CL,DAILY,CR_DN_97645_1,0
CL,DAILY,CR_DN_96341_1,0
CL,DAILY,CR_DN_97435_1,0
CL,DAILY,CR_DN_96651_1,0
CL,DAILY,CR_DN_95015_1,0
CL,DAILY,CR_DN_97647_1,0
CL,DAILY,CR_DN_96115_1,0
CL,DAILY,CR_DN_97649_1,0
CL,DAILY,CR_DN_97437_1,0
CL,DAILY,CR_DN_96653_1,0
CL,DAILY,CR_DN_97439_1,0
CL,DAILY,CR_DN_96229_1,0
CL,DAILY,CR_DN_97441_1,0
CL,DAILY,CR_UP_96002_1,1
CL,DAILY,CR_UP_96002_2,1
CL,DAILY,CR_UP_96002_3,1
CL,DAILY,CR_UP_96002_4,1
CL,DAILY,CR_UP_96002_5,1
CL,DAILY,CR_UP_96002_6,1
CL,DAILY,CR_UP_96002_7,1
CL,DAILY,CR_UP_96002_8,1
CL,DAILY,CR_UP_96002_9,1
CL,DAILY,CR_UP_96002_10,1
CL,DAILY,CR_UP_96002_11,1
CL,DAILY,CR_UP_96002_12,1
CL,DAILY,CR_UP_96002_13,1
CL,DAILY,CR_UP_96002_14,1
CL,DAILY,CR_UP_96002_15,1
CL,DAILY,CR_UP_96002_16,1
CL,DAILY,CR_UP_96002_17,1
CL,DAILY,CR_UP_96002_18,1
CL,DAILY,CR_UP_96002_19,1
CL,DAILY,CR_UP_96002_23,1
CL,DAILY,CR_UP_96002_24,1
CL,DAILY,CR_UP_96002_25,1
CL,DAILY,CR_UP_96002_26,1
CL,DAILY,CR_UP_96002_27,1
CL,DAILY,CR_UP_96102_1,1
CL,DAILY,CR_UP_96102_2,1
CL,DAILY,CR_UP_96102_3,1
CL,DAILY,CR_UP_96102_4,1
CL,DAILY,CR_UP_96102_5,1
CL,DAILY,CR_UP_96102_6,1
CL,DAILY,CR_UP_96102_7,1
CL,DAILY,CR_UP_96102_8,1
CL,DAILY,CR_UP_96102_9,1
CL,DAILY,CR_UP_96102_10,1
CL,DAILY,CR_UP_96102_11,1
CL,DAILY,CR_UP_96102_12,1
CL,DAILY,CR_UP_96102_13,1
CL,DAILY,CR_UP_96102_14,1
CL,DAILY,CR_UP_96102_15,1
CL,DAILY,CR_UP_96102_16,1
CL,DAILY,CR_UP_96102_19,1
CL,DAILY,CR_UP_96102_20,1
CL,DAILY,CR_UP_96102_21,1
CL,DAILY,CR_UP_96102_22,1
CL,DAILY,CR_UP_96102_23,1
CL,DAILY,CR_UP_96102_24,1
CL,DAILY,CR_UP_96102_25,1
CL,DAILY,CR_UP_96102_26,1
CL,DAILY,CR_UP_96102_27,1
CL,DAILY,CR_UP_96102_28,1
CL,DAILY,CR_UP_97302_1,1
CL,DAILY,CR_UP_97302_2,1
CL,DAILY,CR_UP_97302_3,1
CL,DAILY,CR_UP_97302_4,1
CL,DAILY,CR_UP_97302_5,1
CL,DAILY,CR_UP_97302_6,1
CL,DAILY,CR_UP_97302_7,1
CL,DAILY,CR_UP_97302_8,1
CL,DAILY,CR_UP_97302_9,1
CL,DAILY,CR_UP_97302_10,1
CL,DAILY,CR_UP_97302_11,1
CL,DAILY,CR_UP_97302_12,1
CL,DAILY,CR_UP_97302_13,1
CL,DAILY,CR_UP_97302_14,1
CL,DAILY,CR_UP_97302_15,1
CL,DAILY,CR_UP_97302_16,1
CL,DAILY,CR_UP_97302_17,1
CL,DAILY,CR_UP_97302_18,1
CL,DAILY,CR_UP_97302_19,1
CL,DAILY,CR_UP_97302_20,1
CL,DAILY,CR_UP_97302_21,1
CL,DAILY,CR_UP_97302_24,1
CL,DAILY,CR_UP_97302_25,1
CL,DAILY,CR_UP_97302_26,1
CL,DAILY,CR_UP_97302_27,1
CL,DAILY,CR_UP_97602_1,1
CL,DAILY,CR_UP_97602_2,1
CL,DAILY,CR_UP_97602_3,1
CL,DAILY,CR_UP_97602_7,1
CL,DAILY,CR_UP_97602_8,1
CL,DAILY,CR_UP_97602_9,1
CL,DAILY,CR_UP_97602_10,1
CL,DAILY,CR_UP_97602_11,1
CL,DAILY,CR_UP_97602_12,1
CL,DAILY,CR_UP_97602_13,1
CL,DAILY,CR_UP_97602_14,1
CL,DAILY,CR_UP_97602_15,1
CL,DAILY,CR_UP_97602_16,1
CL,DAILY,CR_UP_97602_17,1
CL,DAILY,CR_UP_97602_18,1
CL,DAILY,CR_UP_97602_19,1
CL,DAILY,CR_UP_97602_20,1
CL,DAILY,CR_UP_97602_23,1
CL,DAILY,CR_UP_97602_24,1
CL,DAILY,CR_UP_97602_25,1
CL,DAILY,CR_UP_97602_26,1
CL,DAILY,CR_UP_97304_1,1
CL,DAILY,CR_UP_97304_2,1
CL,DAILY,CR_UP_97304_3,1
CL,DAILY,CR_UP_97304_6,1
CL,DAILY,CR_UP_97304_7,1
CL,DAILY,CR_UP_97304_8,1
CL,DAILY,CR_UP_97304_9,1
CL,DAILY,CR_UP_97304_10,1
CL,DAILY,CR_UP_97304_11,1
CL,DAILY,CR_UP_97304_12,1
CL,DAILY,CR_UP_97304_13,1
CL,DAILY,CR_UP_97304_14,1
CL,DAILY,CR_UP_97304_15,1
CL,DAILY,CR_UP_97304_16,1
CL,DAILY,CR_UP_97304_17,1
CL,DAILY,CR_UP_97304_18,1
CL,DAILY,CR_UP_97304_19,1
CL,DAILY,CR_UP_97304_20,1
CL,DAILY,CR_UP_97304_21,1
CL,DAILY,CR_UP_97304_22,1
CL,DAILY,CR_UP_97304_23,1
CL,DAILY,CR_UP_97304_24,1
CL,DAILY,CR_UP_97304_25,1
CL,DAILY,CR_UP_97304_28,1
CL,DAILY,CR_UP_97604_1,1
CL,DAILY,CR_UP_97604_2,1
CL,DAILY,CR_UP_97604_3,1
CL,DAILY,CR_UP_97604_4,1
CL,DAILY,CR_UP_97604_5,1
CL,DAILY,CR_UP_97604_6,1
CL,DAILY,CR_UP_97604_7,1
CL,DAILY,CR_UP_97604_9,1
CL,DAILY,CR_UP_97604_10,1
CL,DAILY,CR_UP_97604_11,1
